sensor_name,source_address,timestamp,mean_rssi,count
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:19:04Z,-61,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:05Z,-64,4
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:05Z,-75,1
A01,a27677a7bb89aae3ff8c811868f0d2c518cdbd2965cc3b647a729120845dfd3a,2024-04-09T19:19:05Z,-31,2
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:19:05Z,-31,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:06Z,-65,3
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:06Z,-79,1
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:19:06Z,-31,2
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:19:06Z,-37.6666666666667,3
A01,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,2024-04-09T19:19:06Z,-31,1
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:19:07Z,-41,1
A01,35e2b645781fceedde5db10b4c6415b62c2b652b64079c9d0f2b09c9fc0099ed,2024-04-09T19:19:07Z,-71,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:07Z,-68.3333333333333,3
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:19:07Z,-31,2
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:19:07Z,-77.3333333333333,18
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:07Z,-73,1
A01,2511fa546d1c419f171ae2af97afd472375085e59517d14ee8e9e377bb6a49f4,2024-04-09T19:19:07Z,-75,1
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:19:08Z,-77.2909090909091,55
A01,2511fa546d1c419f171ae2af97afd472375085e59517d14ee8e9e377bb6a49f4,2024-04-09T19:19:08Z,-77,1
A01,a27677a7bb89aae3ff8c811868f0d2c518cdbd2965cc3b647a729120845dfd3a,2024-04-09T19:19:08Z,-31.5714285714286,7
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:08Z,-68.4,10
A01,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,2024-04-09T19:19:08Z,-31,1
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:19:08Z,-31,1
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:08Z,-71,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:08Z,-77,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:09Z,-68.5,4
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:09Z,-79,3
A01,a27677a7bb89aae3ff8c811868f0d2c518cdbd2965cc3b647a729120845dfd3a,2024-04-09T19:19:09Z,-31,7
A01,fdbab32253f3e2ab5ed9b5bcc84cee930134faf049869141bd24c3231a51bbba,2024-04-09T19:19:09Z,-75,1
A01,a27677a7bb89aae3ff8c811868f0d2c518cdbd2965cc3b647a729120845dfd3a,2024-04-09T19:19:10Z,-31,2
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:10Z,-69,1
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:19:11Z,-66.25,16
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:11Z,-65.4,5
A01,d8dd6ff0ea18d82eed0d3ff2d44462933e4d7dbc7fc696b673c17e852ca118d4,2024-04-09T19:19:11Z,-66.6363636363636,11
A01,a27677a7bb89aae3ff8c811868f0d2c518cdbd2965cc3b647a729120845dfd3a,2024-04-09T19:19:11Z,-31,3
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:19:11Z,-39,2
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:19:12Z,-41,4
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:12Z,-73,2
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:19:12Z,-67,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:12Z,-79,2
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:13Z,-77,1
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:19:13Z,-42,6
A01,f5ac3e0ec561f322924bc231b340a70f96e8b593586bc6710d8c27bf44ff3ab0,2024-04-09T19:19:13Z,-72,4
A01,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,2024-04-09T19:19:13Z,-31,1
A01,bc85b12557f662f2588c3cbfddd9d7a0f7cffc6883622f08ae26f9422d00dbc4,2024-04-09T19:19:14Z,-65.8,5
A01,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,2024-04-09T19:19:14Z,-31,1
A01,5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,2024-04-09T19:19:14Z,-69,1
A01,5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,2024-04-09T19:19:15Z,-66.25,16
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:15Z,-75,1
A01,d8dd6ff0ea18d82eed0d3ff2d44462933e4d7dbc7fc696b673c17e852ca118d4,2024-04-09T19:19:15Z,-68.2,5
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:16Z,-67.875,16
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:19:16Z,-65.8888888888889,9
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:19:17Z,-66.8888888888889,36
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:17Z,-67.1333333333334,15
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:19:17Z,-72.4285714285714,7
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:19:17Z,-75,1
A01,bb882772e19725b55510ae8546547dca4629643d77afde3fc7480e9f13391fc7,2024-04-09T19:19:17Z,-78.6,5
A01,5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,2024-04-09T19:19:17Z,-71,1
A01,c507316d9216a7d2101e3fa5b615ee3ad72e6a69f7c601a021b930cd45dcaaeb,2024-04-09T19:19:17Z,-71,2
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:19:18Z,-66.3846153846154,13
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:18Z,-65.4,25
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:19:18Z,-74.2857142857143,14
A01,bb882772e19725b55510ae8546547dca4629643d77afde3fc7480e9f13391fc7,2024-04-09T19:19:18Z,-78,2
A01,bb882772e19725b55510ae8546547dca4629643d77afde3fc7480e9f13391fc7,2024-04-09T19:19:19Z,-76.8,20
A01,5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,2024-04-09T19:19:19Z,-69,1
A01,baafa333d03a6de6569dc4775e4e3c2ed805147d77febd9e80bff81b720472ba,2024-04-09T19:19:19Z,-74.8,10
A01,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,2024-04-09T19:19:19Z,-31,1
A01,c507316d9216a7d2101e3fa5b615ee3ad72e6a69f7c601a021b930cd45dcaaeb,2024-04-09T19:19:19Z,-75,1
A01,bb882772e19725b55510ae8546547dca4629643d77afde3fc7480e9f13391fc7,2024-04-09T19:19:20Z,-77,2
A01,ae3d8b443d0acc1f0544c3eb043ad8df6499af41d57a05130e3e3e97221e1878,2024-04-09T19:19:20Z,-75,1
A01,0365da99284fa88620debd3512867addab6f4ab699d1fbca76eeeab2c114c3b4,2024-04-09T19:19:20Z,-46.1111111111111,9
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:19:20Z,-64.125,16
A01,ff:ff:ff:ff:ff:ff,2024-04-09T19:19:20Z,-73,5
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:20Z,-62.4285714285714,7
